"College","CRN","Course","Title","Meeting Days","Begin Time","End Time","Campus","Credits","Pre-req?","","","","","","","","","",""
"College of Natural & Computational Sciences","4925","CSCI3301","Database Technologies","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1494","CSCI3601","Operating Systems","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","2889","CSCI3911","Software Engineering","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Business","5474","ECON2010","Principles of Microeconomics","M, W","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Business","1242","ECON2010","Principles of Microeconomics","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Business","1422","ECON2015","Principles of Macroeconomics","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Business","1048","ECON3020","Managerial Economics","M, W","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Business","5479","ECON3100","Introduction to Econometrics","M, W","8:45 AM","10:00 AM","Downtown","3","M & W","","","","","","","","","",""
"College of Business","6447","ECON3430","Environmental Economics","T, R","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Professional Studies","2137","ED3000","Foundations of American Ed","M","5:30 PM","8:10 PM","Downtown","3","W","","","","","","","","","",""
"College of Professional Studies","2362","ED3200","Education Research and Writing","W","5:30 PM","8:10 PM","Downtown","3","W","","","","","","","","","",""
"College of Professional Studies","2133","ED3300","Introduction to Teaching","W","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","1808","ED3440","Mathematics for Elem Ed","R","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","1809","ED3450","Science for Elem Ed","T","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7789","ENG3223","Voices in Japanese Literature","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7674","ENGB3001","Thermodynamics of Living Sys","M, W","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","3570","ENGE2000","Linear Circuits and Systems","T, R","8:45 AM","10:00 AM","Downtown","3","Lecture and lab must be taken together","","","","","","","","","",""
"College of Natural & Computational Sciences","3571","ENGE2001","Linear Circuits & Systems Lab","M","1:45 PM","4:25 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","4373","ENGE3000","Signals and Systems","M, W","10:30 AM","11:45 AM","Downtown","3","Lecture and lab must be taken together","","","","","","","","","",""
"College of Natural & Computational Sciences","4374","ENGE3001","Signals and Systems Lab","R","2:00 PM","4:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6900","ENGR1000","Intro to Eng Systems & Prof Pr","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6901","ENGR1000","Intro to Eng Systems & Prof Pr","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6899","ENGT2100","Fundamentals of Biomaterials","F","12:00 PM","2:40 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7794","ENGT3002","Analytical Biotech","T","12:00 PM","2:40 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7463","ENVS1500","Natural Disasters","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1180","ENVS3002","Apps of Environmental Science","M, W","5:30 PM","6:45 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","2895","ENVS3003","App. of Environ. Science Lab","F","7:30 AM","3:30 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","7433","ENVS3040","Intro to Environ'l Engineering","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","2946","ENVS4030","Applied Geographic Info System","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1195","ENVS4100","Society & Env: Contemp Issues","W","10:30 AM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","2098","ENVS4400","Environmental Science Seminar","W","10:30 AM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Business","7202","FIN2100","Financial Literacy","F","6:15 PM","8:55 PM","Downtown","3","M","","","","","","","","","",""
"College of Business","1437","FIN3000","Business Finance","T, R","8:45 AM","10:00 AM","Downtown","3","M","","","","","","","","","",""
"College of Business","5827","FIN3200","Personal Finance","T, R","10:30 AM","11:45 AM","Downtown","3","M & W","","","","","","","","","",""
"College of Business","5828","FIN3300","Investments","F","3:00 PM","5:40 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2912","FR1100","Beginning French I","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1481","GEOG1500","World Regional Geography","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1022","HAWN1200","Beginning Hawaiian II","T, R","8:45 AM","10:00 AM","Downtown","4","","","","","","","","","","",""
"College of Liberal Arts","2528","HIST1001","Trad & En: World Cult. to 1500","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7838","HIST3650","Hist. of Oil in the Mod. World","R","6:00 PM","8:40 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6962","HIST4961","Seminar: Military History","M","6:00 PM","8:40 PM","Downtown","3","","","","","","","","","","",""
"College of Business","2123","HTM3110","Hotel and Resort Management","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Business","7892","HTM3610","Travel Industry Marketing","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","4969","HUM3900","Research & Writing/Humanities","M, W","10:30 AM","11:45 AM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","5169","INTR1000","The International System","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","4961","INTR3350","International Human Rights","M","6:00 PM","8:40 PM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","1025","JPE1100","Beginning Japanese I","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2382","JPE1100","Beginning Japanese I","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","1026","JPE2100","Intermediate Japanese I","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7087","JPE3100","Advanced Japanese I","F","11:30 AM","2:20 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6186","KOR1100","Beginning Korean I","M, W","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7767","KOR2100","Intermediate Korean I","M, W","5:30 PM","6:45 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1677","MARS1020","Oceanographic Field Techniques","F","10:00 AM","11:40 AM","Downtown","3","","","","","","","","","","",""
"","","","","W","1:00 PM","5:00 PM","","","","","","","","","","","","",""
"College of Natural & Computational Sciences","1028","MARS1020","Oceanographic Field Techniques","F","10:00 AM","11:40 AM","Downtown","3","","","","","","","","","","",""
"","","","","F","1:00 PM","5:00 PM","","","","","","","","","","","","",""
"College of Natural & Computational Sciences","3330","MARS1500","Marine Biology & Global Oceans","M, W","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","3332","MARS1500","Marine Biology & Global Oceans","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1755","MARS3000","General Oceanography","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","4220","MARS3001","General Oceanography Lab","T","1:00 PM","5:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","4947","MARS3930","Marine Science Seminar","W","11:20 AM","12:35 PM","Waimanalo/Makapu'u","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","7761","MARS4040","Seabird Ecology & Conservation","F","1:05 PM","3:45 PM","Waimanalo/Makapu'u","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","2950","MARS4050","Marine Ecology","M, W","9:35 AM","10:50 AM","Waimanalo/Makapu'u","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6981","MARS4080","Physical Oceanography","T, R","1:05 PM","2:20 PM","Waimanalo/Makapu'u","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","5393","MARS4100","MRM: Culture & Sustainability","M, W","2:50 PM","4:05 PM","Waimanalo/Makapu'u","3","W","","","","","","","","","",""
"College of Natural & Computational Sciences","7764","MARS4210","Marine Fisheries & Management","M, W","2:50 PM","4:05 PM","Waimanalo/Makapu'u","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1034","MATH1105","Intermediate Algebra","M, W","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7621","MATH1105","Intermediate Algebra","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1285","MATH1105","Intermediate Algebra","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1178","MATH1105","Intermediate Algebra","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","4097","MATH1105","Intermediate Algebra","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1212","MATH1123","Statistics","M, W","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","3260","MATH1123","Statistics","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
